forest_type,mean_biomass,median_biomass,mean_severity,median_severity,q25_biomass,q75_biomass,var_biomass,skew_biomass,kurt_biomass,p_normality,n_pixels,hex_ID
2,4.4,3,-3376.704345703125,-3256.026123046875,3,3,13.8,2.1574289263635182,4.747952110901068,NA,5,37
2,33.48701298701299,34.5,-3092.936841295911,-2595.5009765625,6,56,686.1599609540787,0.12264227788026344,-1.5078424750835444,2.6721614729119025e-14,154,38
3,18.75,20,-3085.385810852051,-3099.0870361328125,6.75,27.75,211.26666666666668,0.543150043547245,-0.47054324397623604,0.3968878724248493,16,38
1,30,28.5,-3809.8432006835938,-4031.95703125,15,43.5,306,0.10088152067206403,-5.420415224913495,NA,4,38
2,29.754355400696863,18,-3070.493424684744,-2826.4171142578125,5,46,954.1018570881296,1.2943458162021944,0.965032834601396,3.7e-24,574,39
1,41.515151515151516,37,-3160.879026206541,-3137.235595703125,16.5,60.5,834.3204216073781,0.7729530760840634,0.6865110504158208,2.408507715299974e-5,231,39
3,22.785714285714285,17,-3471.0862748282298,-3204.4456787109375,7.75,28,502.8148622677771,2.049351821396802,4.991081214028136,3.7e-24,224,39
3,52.261044176706825,45,-3276.6618122882155,-3169.668212890625,18,82,1597.6775489052986,0.6687103843420432,-0.4690711719454698,1.5638769683768633e-12,249,40
1,73.72315035799522,71,-3332.8981012968006,-3133.38916015625,37.5,111,1938.100204405568,0.044757082122240006,-1.0407565541713337,1.2657751335166429e-8,419,40
2,38.121212121212125,31,-3400.5682572798296,-3318.43798828125,12,56,1013.0949741315595,1.0506230741496332,0.7396961285723226,3.037436466430365e-10,165,40
3,54.81075561606535,55,-3978.474884843404,-3648.166015625,34,74,794.8660695240233,0.2390224929661533,-0.15426262518310868,6.02730712938569e-6,1469,41
1,55.75938566552901,54,-3822.670388075272,-3496.1505126953125,30,77,987.2503388195381,0.4264731490310363,-0.3232464353262878,2.6355200050806546e-14,1172,41
2,48.12915129151291,49,-3711.8279065346806,-3450.9886474609375,22,71,871.2556960472651,0.23254081222873949,-0.7170936359763896,3.7e-24,1084,41
3,63.86440677966102,66,-4799.779420600503,-4556.56103515625,40.5,89,1003.512164187709,-0.2120637650590633,-0.8633291029978863,5.755376055348487e-5,295,42
1,58.13616398243045,60,-5213.270040799724,-5133.29541015625,26,86,1167.7922826240967,0.07747190525653824,-1.1385582089407467,6.213804317860782e-22,683,42
2,65.44444444444444,70,-4085.0109234434185,-3615.04248046875,46.5,92.5,1085.8820861678005,-0.5128243241504113,-0.7627726783154651,9.500814166258242e-5,99,42
2,64.32374100719424,64,-5079.189992342064,-4358.9296875,44.5,87.5,928.1770409759149,-0.12315610166872787,-0.6771767549383516,0.2044629550145712,139,43
3,69.07656612529003,72,-3905.4393477650087,-3226.596435546875,48.5,92,830.275519343873,-0.3892705228884391,-0.6173749840118664,6.514850401095581e-8,431,43
1,62.342666666666666,63,-3081.2558807779947,-2784.8214111328125,40.25,85,751.6167352024922,-0.0926582353944242,-0.9092436965880895,1.3847410522547936e-11,750,43
1,56.04651162790697,63,-2901.2342287995093,-2851.6058349609375,51.25,69,350.1625170998632,-1.3401619997369214,0.5577079089632914,3.1444522865309675e-17,86,44
3,55,64.5,-2275.4029235839844,-1902.3228759765625,54,65.5,428.6666666666667,-1.978089790209675,3.9293201821748256,NA,4,44
2,12.2,12,-2191.79658203125,-1954.5260009765625,11,13,3.7,0.5901286563843675,-0.02191380569758768,NA,5,45
1,20.203703703703702,14.5,-2147.7123390480324,-2045.9058227539062,8,19,351.99550017307024,1.600920477980978,1.1413222751810355,3.7e-24,108,45
3,18,10,-2175.9556833902993,-1861.4179077148438,8,11.25,432.60869565217394,1.8587979658616993,1.6970591979672567,3.1606292902361556e-13,24,45
1,47.39879759519038,49,-2527.67740498086,-2524.94482421875,44,53,78.12778971597814,-0.9177858148164666,1.0943648535067263,3.7e-24,499,46
2,40.18181818181818,40,-2967.7545942826705,-3057.30859375,35.5,45,28.163636363636364,-0.18291772465827708,-1.4751549796525607,0.4549533795985794,11,46
3,42.925925925925924,43,-2581.041589807581,-2768.7294921875,39.5,47.5,37.91737891737892,-0.3894224779906502,0.05504967521470828,0.6840952819551815,27,46
1,34.370370370370374,37,-2669.6811252170137,-2611.817138671875,23.5,48,429.54985754985756,-0.23358413991701493,-0.8222866967941231,0.1113823430138014,27,47
3,48.63786008230453,48,-5726.157417454347,-5765.1279296875,40,57.5,153.35591606298678,0.16839059108045026,-0.5140897804118173,0.05581343996344268,243,51
1,49.44155844155844,50,-5706.803409598935,-5922.408935546875,42,57,116.24909290355244,-0.06708964337242591,-0.26465600916691195,4.5489129068931796e-4,1694,51
2,52.97872340425532,54,-4623.835153133311,-4576.8134765625,42,61,169.06475485661426,-0.0695599856579194,-0.17997988592473338,0.39355951011583,47,51
2,52.25,52.5,-3026.60498046875,-2905.6151123046875,46.25,58.5,62.916666666666664,-0.06762779364256334,-5.001149072409104,NA,4,53
3,34.875,33.5,-2248.6685485839844,-2171.347412109375,26,43.5,132.69642857142858,0.193561696320371,-1.6526835746355368,0.25632805162066663,8,53
1,26.357142857142858,26.5,-4333.654078892299,-4786.876220703125,19,31,169.32417582417582,1.2479942536148338,3.1740992532295644,0.1979836127396845,14,53
1,70.06382978723404,65,-3986.5911417210355,-3810.0537109375,46.75,92,1273.9103424735465,0.578349132049137,0.09225180684625757,7.349480829042839e-4,188,54
3,73.6842105263158,69,-3767.08592786287,-3449.489990234375,54,86.25,1249.2056140350878,0.8338776458222897,0.9943623612926975,0.002003488774331912,76,54
2,62.17283950617284,64,-2967.8775031949267,-2768.908203125,29,86,1538.6447530864198,0.5279201254488748,-0.031348996392762125,0.08588272196843147,81,54
2,67.984375,68,-3231.823076248169,-3002.1011962890625,39.75,100.25,1234.5390215968587,-0.0825942127094715,-1.137439741583418,1.1018888896304166e-6,192,55
1,49.01980198019802,41,-3654.31474681892,-3464.84033203125,18,68,1351.179603960396,0.8084616444452045,0.0618460859829652,4.781225522958824e-6,101,55
3,63.248275862068965,63,-3186.9467899717133,-2942.88720703125,32,93,1236.535153256705,0.138768023473574,-1.0909238979591582,2.0697899894570426e-4,145,55
3,35.13333333333333,20,-3141.4782877604166,-2852.361328125,12.5,63.5,1058.9809523809524,0.8164754181618235,-1.0899945822763801,0.0024605563496051023,15,56
2,34.25,28.5,-2921.369397844587,-2898.3031005859375,16.25,47.25,680.1203703703703,0.8265348753572634,-0.2936345794870594,0.024368123354072013,28,56
1,26.142857142857142,22,-3166.3515973772323,-3189.9794921875,18.5,29.5,173.14285714285714,1.4041050864536282,1.237807295581043,NA,7,56
1,80.93023255813954,80,-4148.951245684956,-4130.748046875,59,107.5,2137.6378737541527,0.037812974437715155,-0.41246056856997193,0.26167156593031876,43,57
2,110.58771929824562,119.5,-4325.779339706689,-4312.902587890625,79,148,2436.701522528789,-0.4828349110405177,-0.5526458249467483,7.734289393479955e-6,228,57
3,114.95098039215686,118,-4030.4330815333947,-4035.2470703125,82.5,156,2425.809454474859,-0.5531897583064892,-0.5178057785613429,0.0015867967550385015,102,57
2,52.24375,42.5,-4320.99953066508,-4266.635009765625,20,79,1636.6941153444677,0.8947599985434299,0.3797494235759983,2.37402741407577e-21,480,58
